url,file_size,sizex,sizey,urlName,response_time_resize_small,response_time_resize_medium,response_time_resize_large
https://farm2.staticflickr.com/7448/12963741155_3fb88958c5_o.jpg,115492,640,640,12963741155_3fb88958c5_o.jpg,0.044816,0.047459,0.04703
https://c4.staticflickr.com/9/8530/8504079056_a866651da5_o.jpg,169466,768,1024,8504079056_a866651da5_o.jpg,0.08771,0.050383,0.083098
https://c2.staticflickr.com/6/5100/5523794641_83aca730c4_o.jpg,1168956,2248,4000,5523794641_83aca730c4_o.jpg,0.219949,0.141267,0.13697
https://c2.staticflickr.com/8/7435/9157642331_799f4bda89_o.jpg,6358852,5184,3456,9157642331_799f4bda89_o.jpg,0.552913,0.557347,0.557534
https://c8.staticflickr.com/6/5146/5669067623_f1684c7714_o.jpg,456013,1200,914,5669067623_f1684c7714_o.jpg,0.128517,0.130847,0.129334
https://farm6.staticflickr.com/2575/3911513060_0e17fd7b1a_o.jpg,4179953,2592,3456,3911513060_0e17fd7b1a_o.jpg,0.281255,0.279647,0.279396
https://c1.staticflickr.com/8/7197/6890218363_401abfbe26_o.jpg,3163590,2319,3486,6890218363_401abfbe26_o.jpg,0.12555,0.13429,0.135939
https://c3.staticflickr.com/9/8380/8527584957_3fc58b9392_o.jpg,4546913,1575,3798,8527584957_3fc58b9392_o.jpg,0.096637,0.092478,0.093238
https://c2.staticflickr.com/8/7484/16254199792_b29a08f3a5_o.jpg,3953831,3000,4000,16254199792_b29a08f3a5_o.jpg,0.233502,0.35522,0.363969
https://farm5.staticflickr.com/3403/3508111711_1afe8d005d_o.jpg,143710,1000,1500,3508111711_1afe8d005d_o.jpg,0.152048,0.084487,0.150418
https://c2.staticflickr.com/1/35/72803623_cefe9ecba2_o.jpg,92653,600,800,72803623_cefe9ecba2_o.jpg,0.0261,0.049398,0.04386
https://c2.staticflickr.com/8/7321/12406718694_b2a73f478d_o.jpg,2401367,1759,2647,12406718694_b2a73f478d_o.jpg,0.108534,0.118217,0.116006
https://farm6.staticflickr.com/8588/15720598108_a86f0f64f3_o.jpg,205542,595,798,15720598108_a86f0f64f3_o.jpg,0.052704,0.029012,0.052492
https://c4.staticflickr.com/3/2777/4108880332_6070f62f8c_o.jpg,212853,768,1024,4108880332_6070f62f8c_o.jpg,0.076503,0.078842,0.083932
https://c6.staticflickr.com/4/3639/3549770249_242e9dcd40_o.jpg,2502576,1676,3553,3549770249_242e9dcd40_o.jpg,0.237637,0.233554,0.229807
https://c7.staticflickr.com/9/8622/15988898028_4e9f173184_o.jpg,7457894,3864,5152,15988898028_4e9f173184_o.jpg,0.606679,0.605819,0.609085
https://c6.staticflickr.com/4/3669/13004449264_6de04870d4_o.jpg,572652,960,1280,13004449264_6de04870d4_o.jpg,0.138149,0.135077,0.134706
https://c2.staticflickr.com/3/2927/14036575217_b9393a21a5_o.jpg,3112152,2736,3648,14036575217_b9393a21a5_o.jpg,0.301075,0.179171,0.287862
https://c4.staticflickr.com/8/7412/16353435032_015ebfe49d_o.jpg,777696,1656,2500,16353435032_015ebfe49d_o.jpg,0.407092,0.406163,0.394086
https://farm3.staticflickr.com/3171/5852445553_1d38e6d980_o.jpg,4307874,2304,3072,5852445553_1d38e6d980_o.jpg,0.237274,0.149566,0.234097
https://c4.staticflickr.com/7/6043/7016498157_e41f4b72c5_o.jpg,4645950,2848,4272,7016498157_e41f4b72c5_o.jpg,0.264899,0.263988,0.262558
https://farm6.staticflickr.com/3090/3104181758_6d3f8955ac_o.jpg,3663804,3648,2736,3104181758_6d3f8955ac_o.jpg,0.29812,0.184835,0.187971
https://farm2.staticflickr.com/8247/8538276842_f6af712b60_o.jpg,2008385,2248,4000,8538276842_f6af712b60_o.jpg,0.240851,0.250773,0.247917
https://c1.staticflickr.com/1/273/18739312379_d1ac0f1328_o.jpg,4353027,2448,3264,18739312379_d1ac0f1328_o.jpg,0.062841,0.091895,0.08919
https://farm6.staticflickr.com/7015/6423470483_2a4884d740_o.jpg,4664006,2574,3861,6423470483_2a4884d740_o.jpg,0.092428,0.131088,0.131721
https://farm3.staticflickr.com/5107/5626974077_ea5436eefb_o.jpg,329462,1280,1280,5626974077_ea5436eefb_o.jpg,0.177378,0.108552,0.176757
https://farm4.staticflickr.com/7267/6999028375_9338e78e9b_o.jpg,949586,2000,3008,6999028375_9338e78e9b_o.jpg,0.57799,0.541964,0.57992
https://c2.staticflickr.com/1/190/456509556_6bc5653816_o.jpg,103855,600,800,456509556_6bc5653816_o.jpg,0.051735,0.046449,0.04946
https://c7.staticflickr.com/9/8262/8614677176_83286b2905_o.jpg,728156,1991,3381,8614677176_83286b2905_o.jpg,0.387666,0.631671,0.626457
https://c1.staticflickr.com/8/7411/16566127926_081d8633de_o.jpg,125706,640,640,16566127926_081d8633de_o.jpg,0.02386,0.0456,0.046416
https://c6.staticflickr.com/3/2638/3732442637_b1d5257b3d_o.jpg,3699991,2448,3264,3732442637_b1d5257b3d_o.jpg,0.24715,0.256273,0.248504
https://c3.staticflickr.com/1/434/20323808580_9718e01a38_o.jpg,1186309,3064,4091,20323808580_9718e01a38_o.jpg,0.317988,0.323606,0.311459
https://c8.staticflickr.com/1/7/9099925_243f54f5e0_o.jpg,102036,480,640,9099925_243f54f5e0_o.jpg,0.027207,0.037995,0.038448
https://farm4.staticflickr.com/3863/15160845628_d334de1777_o.jpg,705648,2304,3456,15160845628_d334de1777_o.jpg,0.737951,0.721355,0.738865
https://c3.staticflickr.com/5/4048/4297828752_61fb3053ee_o.jpg,1592567,1269,2277,4297828752_61fb3053ee_o.jpg,0.128716,0.131736,0.130218
https://farm7.staticflickr.com/3866/14696545529_b4c65b8c61_o.jpg,449897,1080,1087,14696545529_b4c65b8c61_o.jpg,0.129435,0.127867,0.128372
https://farm4.staticflickr.com/3685/12505544973_3b6958b3fd_o.jpg,274967,634,1208,12505544973_3b6958b3fd_o.jpg,0.085737,0.078993,0.078435
https://c2.staticflickr.com/7/6026/5990004902_86141a3b54_o.jpg,157959,600,800,5990004902_86141a3b54_o.jpg,0.050974,0.048005,0.048108
https://c6.staticflickr.com/6/5049/5257400734_2f32f1c2d9_o.jpg,267307,803,1204,5257400734_2f32f1c2d9_o.jpg,0.108652,0.109155,0.111168
https://farm4.staticflickr.com/8486/8188864072_c9ef038eb0_o.jpg,3696229,4000,3000,8188864072_c9ef038eb0_o.jpg,0.356149,0.350452,0.350123
https://farm4.staticflickr.com/7512/15531433793_9b31893115_o.jpg,6742611,4928,3264,15531433793_9b31893115_o.jpg,0.486037,0.494152,0.494956
https://c5.staticflickr.com/4/3099/3120011183_cfaee09c80_o.jpg,1205468,1564,2272,3120011183_cfaee09c80_o.jpg,0.123596,0.122558,0.124919
https://farm2.staticflickr.com/2273/1798030127_4d0de02fba_o.jpg,1274987,3072,2304,1798030127_4d0de02fba_o.jpg,0.186296,0.181326,0.183261
https://c8.staticflickr.com/4/3209/3012030328_8b738bbd71_o.jpg,784606,1712,2288,3012030328_8b738bbd71_o.jpg,0.383333,0.386754,0.360556
